accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.25,-0.31,-9.81,1.5,-1.375,0.125,10.3125,-7.5,178.0625,0
-1.29,-0.38,-9.88,-0.4375,0.4375,-0.25,10.375,-7.75,178,0
-1.35,-0.43,-9.68,0.1875,0.125,-0.1875,10.375,-7.6875,177.75,0
-1.29,-0.39,-9.8,-0.125,0.25,-0.1875,10.375,-7.6875,177.75,0
-1.31,-0.38,-9.74,0.125,-0.0625,0.0625,10.375,-7.625,177.75,0
-1.26,-0.38,-9.68,0.125,0.3125,0.125,10.375,-7.625,177.8125,0
-1.27,-0.4,-9.69,-0.375,0.75,0.3125,10.375,-7.5625,177.8125,0
-1.31,-0.31,-9.93,-0.625,-0.625,0.0625,10.375,-8.125,177.875,0
-1.15,-0.15,-9.77,-1.625,1.5,0.1875,10.3125,-7.3125,179.0625,0
-1.02,-0.13,-9.83,0.9375,0.6875,-0.1875,10.3125,-6.75,178.875,0
-1.04,-0.2,-9.83,0,-0.4375,0,10.3125,-6.75,178.75,0
-1.16,-0.34,-9.73,2.5,-0.8125,1.0625,10.25,-7.4375,177.875,0
-1.24,-0.44,-9.66,-0.1875,-1,-0.25,10.375,-7.8125,177.375,0
-1.24,-0.36,-9.76,0.0625,-0.1875,-0.1875,10.375,-8.125,177.4375,0
-1.21,-0.41,-9.79,-0.4375,-0.5,0.0625,10.375,-8.125,177.375,0
-1.21,-0.28,-9.84,-0.1875,-0.6875,-0.5,10.375,-8.1875,177.4375,0
-1.18,-0.34,-9.73,-2,2.0625,1.0625,10.5,-8.125,177.625,0
-1.23,-0.3,-9.81,1.1875,-1,-0.25,10.625,-8,177.5,0
-1.28,-0.33,-9.74,0.4375,-0.25,0.125,10.625,-8.125,177.4375,0
-1.23,-0.39,-9.82,-1.125,3.5,-1.3125,10.375,-7.75,177.25,0
-1.11,-0.39,-9.8,0.1875,-0.5625,0.0625,10.3125,-7.375,176.9375,0
-1.13,-0.4,-9.73,0.375,-0.375,-0.0625,10.3125,-7.3125,176.9375,0
-1.15,-0.42,-9.71,-0.125,0.125,-0.0625,10.3125,-7.1875,177.0625,0
-1.1,-0.4,-9.84,0.875,0,-0.125,10.3125,-7.125,177.125,0
-1.09,-0.43,-9.75,0,-0.0625,-0.0625,10.3125,-7,177.0625,1
-1.11,-0.41,-9.74,0.0625,0.0625,-0.0625,10.3125,-7,177.0625,1
-1.13,-0.4,-9.81,-0.0625,-0.125,-0.0625,10.3125,-7,177.0625,1
-1.15,-0.44,-9.66,0.5,-0.3125,-0.0625,10.3125,-7,177,1
-1.15,-0.41,-9.73,0.25,-0.25,-0.0625,10.3125,-7,177,1
-1.13,-0.42,-9.78,0.25,-0.125,-0.125,10.3125,-7,177,1
