accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
1.13,1,-9.72,-0.0625,0.0625,0,270.6875,6.0625,-173.875,1
1.15,1,-9.84,0.1875,0.0625,-0.0625,270.6875,6.0625,-173.875,1
1.13,1,-9.7,-0.0625,0.125,0.0625,270.6875,6.0625,-173.875,1
1.16,1.01,-9.8,-0.125,-0.0625,0.0625,270.6875,6.0625,-173.875,1
1.13,1.01,-9.81,-0.0625,0,0,270.6875,6.0625,-173.875,1
1.14,1,-9.7,-0.1875,-0.125,0,270.6875,6.0625,-173.875,1
1.13,1.01,-9.77,-0.1875,-0.1875,0,270.6875,6.0625,-173.875,1
1.07,0.99,-9.8,0.375,-1.4375,-0.25,270.6875,5.6875,-173.9375,1
0.82,1.07,-9.74,-1.25,-2.5,0.25,270.625,4.0625,-173.875,1
0.3,1.04,-9.72,2.875,2.75,1,270.4375,2.5625,-174.125,1
0.93,1.07,-9.65,1.6875,-0.3125,-0.1875,271.1875,6.75,-173.1875,1
0.79,0.37,-9.41,-4.875,-4.5,-1,271.125,5.25,-174.4375,1
0.13,1.24,-9.39,21,21.75,1.625,271,1.625,-172.375,0
1.14,1.03,-9.78,0.5625,0.875,0.375,271.125,6.9375,-173.9375,0
0.83,0.93,-9.71,0.8125,0.5625,-0.125,271.0625,5.375,-174.1875,0
0.87,0.98,-9.78,-0.1875,0.625,-0.0625,271,5.5625,-174.25,0
0.87,1.01,-9.84,-1,0.125,0.0625,271,5.5,-174.0625,0
0.85,1.01,-9.69,0.0625,0.375,0.1875,271,5.4375,-174.125,0
0.83,1.02,-9.86,0.375,0,0.1875,271,5.4375,-174.125,0
0.9,1,-9.87,0.3125,0.5625,0,271,5.6875,-174.125,0
0.88,0.98,-9.74,0.125,0.4375,-0.0625,271,5.6875,-174.125,0
0.88,1.01,-9.79,-0.125,0,0.0625,271,5.6875,-174.125,0
0.89,1.02,-9.84,-0.125,-0.25,0.125,271,5.6875,-174.125,0
0.86,1.01,-9.73,0.4375,0.25,-0.0625,271,5.625,-174.125,0
0.89,1.03,-9.83,-0.3125,-0.1875,0.0625,271,5.625,-174.125,0
0.86,0.99,-9.84,0.125,-0.375,-0.125,271,5.625,-174.125,0
0.85,1.01,-9.77,-0.0625,0.0625,-0.125,271,5.625,-174.125,0
0.88,1.01,-9.8,-0.25,0,-0.0625,271,5.625,-174.1875,0
0.85,1.01,-9.84,0,0,0,271,5.625,-174.1875,0
0.85,1,-9.73,-0.25,-0.75,-0.125,271,5.625,-174.1875,0
0.7,1.02,-9.76,0,0.9375,-0.0625,271.0625,4.8125,-174.1875,0
0.7,1.01,-9.85,0.0625,0.0625,0,271.0625,4.875,-174.1875,0
0.72,1.01,-9.77,-0.125,0.1875,0,271.0625,4.875,-174.1875,0
0.72,1,-9.78,0,-0.0625,-0.0625,271.0625,4.875,-174.1875,0
0.71,1.02,-9.87,0.0625,-0.0625,0,271.0625,4.875,-174.1875,0
0.7,1.01,-9.77,-0.0625,0,-0.0625,271.0625,4.875,-174.1875,0
0.72,1.01,-9.8,0.125,0.125,-0.0625,271.0625,4.875,-174.1875,0
0.73,1.02,-9.86,0.0625,-0.0625,0.0625,271.0625,4.875,-174.1875,0
0.71,1.01,-9.85,0.125,-0.25,0.0625,271.0625,4.875,-174.1875,0
0.69,1.02,-9.77,0.0625,-0.125,-0.0625,271.0625,4.875,-174.1875,0
0.73,1,-9.84,-0.1875,-0.125,0,271.0625,4.875,-174.1875,0
0.71,0.99,-9.75,-0.0625,0,-0.125,271.0625,4.875,-174.1875,0
0.69,1.01,-9.76,-0.0625,0,-0.125,271.0625,4.875,-174.1875,0
0.71,1.02,-9.88,-0.0625,-0.0625,0,271.0625,4.875,-174.1875,0
0.69,1.02,-9.8,-0.125,-0.0625,0.0625,271.0625,4.875,-174.1875,0
0.7,1.01,-9.76,0.1875,-0.0625,-0.0625,271.0625,4.875,-174.1875,0
0.71,1,-9.8,0.125,0.125,-0.125,271.0625,4.875,-174.1875,0
0.7,1.01,-9.74,0,-0.0625,-0.0625,271.0625,4.875,-174.1875,0
0.72,1,-9.77,0,-0.0625,-0.0625,271.0625,4.875,-174.1875,0
0.71,1.02,-9.8,-0.0625,-0.125,0.0625,271.0625,4.875,-174.1875,0
0.72,1.09,-9.82,0.6875,0.6875,0.1875,271.0625,4.9375,-174.125,0
