accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-0.8,-0.45,-9.54,-0.0625,-0.3125,0,320.25,-5.0625,177.8125,1
-0.78,-0.47,-9.49,0,-0.125,0.0625,320.25,-5.0625,177.8125,1
-0.8,-0.45,-9.51,0.0625,0.3125,0,320.25,-5.0625,177.8125,1
-0.79,-0.46,-9.5,0.125,-0.125,0,320.25,-5.0625,177.8125,1
-0.8,-0.45,-9.5,-0.1875,0,0.0625,320.25,-5.0625,177.8125,1
-0.8,-0.46,-9.56,0.0625,0.0625,-0.0625,320.25,-5.0625,177.8125,1
-0.76,-0.45,-9.63,-0.125,-0.25,0.0625,320.25,-5.0625,177.8125,1
-0.76,-0.43,-9.47,-0.125,-0.125,0.0625,320.25,-5.0625,177.8125,1
-0.78,-0.45,-9.5,-0.1875,-0.0625,-0.0625,320.25,-5.0625,177.8125,1
-0.79,-0.46,-9.49,0,0.0625,0.1875,320.25,-5.0625,177.8125,1
-0.81,-0.46,-9.61,-0.0625,-0.0625,0,320.25,-5.0625,177.8125,1
-0.78,-0.45,-9.5,0.0625,0.0625,-0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.44,-9.48,0.1875,0.0625,-0.0625,320.25,-5.0625,177.8125,1
-0.76,-0.44,-9.53,-0.0625,-0.0625,0,320.25,-5.0625,177.8125,1
-0.76,-0.45,-9.55,0.125,0.0625,-0.125,320.25,-5.0625,177.8125,1
-0.77,-0.44,-9.61,-0.0625,0,-0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.47,-9.49,-0.0625,-0.0625,-0.125,320.25,-5.0625,177.8125,1
-0.75,-0.45,-9.49,0.125,0,-0.125,320.25,-5.0625,177.8125,1
-0.77,-0.46,-9.51,0.125,0.1875,-0.125,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.55,0,0.125,0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.55,-0.125,0,-0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.51,0.0625,0.0625,-0.0625,320.25,-5.0625,177.8125,1
-0.76,-0.45,-9.49,-0.0625,-0.125,-0.125,320.25,-5.0625,177.8125,1
-0.77,-0.46,-9.51,-0.0625,0.1875,-0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.44,-9.53,-0.125,-0.125,0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.44,-9.52,-0.125,-0.0625,0.0625,320.25,-5.0625,177.8125,1
-0.78,-0.45,-9.51,0.0625,0.0625,0,320.25,-5.0625,177.8125,1
-0.75,-0.47,-9.52,0,0.0625,0.0625,320.25,-5.0625,177.8125,1
-0.75,-0.46,-9.56,0.125,-0.0625,-0.125,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.48,0,0,0.125,320.25,-5.0625,177.8125,1
-0.77,-0.46,-9.48,-0.0625,0.125,0,320.25,-5.0625,177.8125,1
-0.75,-0.47,-9.57,-0.125,0.0625,0,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.6,0.1875,-0.0625,0.0625,320.25,-5.0625,177.8125,1
-0.77,-0.45,-9.55,-0.125,-0.125,0.125,320.25,-5.0625,177.8125,1
-0.76,-0.44,-9.54,-2.9375,-1.4375,0.875,320.25,-5.125,178,1
-0.95,-0.48,-9.39,1.375,-0.75,-0.3125,320.5625,-6.3125,177.8125,1
-1.05,-0.44,-9.51,0.125,-0.5625,-0.125,320.5625,-6.6875,177.6875,1
-0.96,-0.39,-9.76,1.6875,0.125,-0.1875,320.5625,-6.375,177.9375,1
-0.9,-0.56,-9.5,5.875,-0.6875,-1.4375,320.125,-5.75,177.875,1
-1.24,-0.49,-9.57,3.9375,4.375,-1.25,320.4375,-6.8125,177.6875,0
-1.06,-0.41,-9.52,0.25,1,-0.6875,320.4375,-6.6875,177.5,0
-1.18,-0.46,-9.52,1.125,-0.625,-0.375,320.5,-6.9375,177.375,0
-1.11,-0.4,-9.43,0.1875,0.875,-0.8125,320.5,-6.875,177.6875,0
-0.91,-0.46,-9.44,-1,-0.3125,0.0625,320.3125,-5.9375,177.375,0
-0.99,-0.47,-9.56,0.0625,0.0625,-0.125,320.3125,-6,177.25,0
-0.93,-0.45,-9.54,-0.375,0,-0.0625,320.3125,-6,177.1875,0
-1,-0.45,-9.55,0.3125,0.375,-0.3125,320.25,-6,177.1875,0
-1.06,-0.44,-9.5,-1.25,-1.4375,0.625,320.3125,-6.3125,177.4375,0
-0.96,-0.51,-9.55,0.875,0,0.375,320.1875,-5.875,177.25,0
